ACCESSION,CALL NO.,AUTHOR,TITLE,PAGES,YEAR
TH19-00039,THESIS TH 39 A53 2019,"Andrade, Aljohn Pope A. ",It's more fun in the philippines : Android mobile tour guiding application with Tagalog-English and English-Tagalog translator using speech recognition,v.p.,2019
TH19-00040,THESIS TH 40 L33 2019,"Labrador, Mary Grace B.",IOT - BASED Safety monitoring and alert system for firefighters,v.p.,2019
TH19-00041,THESIS TH 41 M36 2019,"Maningding, Goldwynne",Raspberry Pi-Based prepaid electric stove with wattage monitoring,v.p.,2019
TH19-00042,THESIS TH 42 D86 2019,"Dumo, Ronald Daniel B. ",MCU - BASED water submeter with mobile application,v.p.,2019
TH19-00043,THESIS TH 43 A46 2019,"Amon, Jeoffrey D.",MCU - BASED warehouse intrusion and fire detection and notification system,v.p.,2019
TH19-00044,THESIS TH 44 A95 2019,"Aviles, John Daryll P. ",MCU - BASED coconut milk to coconut oil converting machine,v.p.,2019
TH19-00045,THESIS TH 45 B38 2019,"Bautista, Jericho M. ",Arduino based sautomated S1 sand sieving machine for hardware store,v.p.,2019
TH19-00046,THESIS TH 46 O33 2019,"Ogawa, Kevin L. ",Exam generator with network support,v.p.,2019
TH19-00047,THESIS TH 47 A45 2019,"Ali Bakir, Ahmad Farish Bin Rasem P. ",Automated coffee dispenser with sms notification for STI College Global City,v.p.,2019
TH19-00048,THESIS TH 48 C35 2019,"Callejo, Christian Dale G.",MCU - Based soap maker using used coffee grounds,v.p.,2019
TH19-00049,THESIS TH 49 O76 2019,"Orofino, Flordeliza",Feasibility study in club and resort operations,v.p.,2019
TH19-00050,THESIS TH 50 A27 2019,"Abregana, Jamie Lyne ",Seeken : Feasibility study in micro perspective in hospitality management,45,2019
TH19-00051,THESIS TH 51 A25 2019,"Aciret, Rich",Demibreak : Feasibility study in micro perspective in hospitality management,53,2019
TH19-00052,THESIS TH 52 E87 2019,"Espana, Zyrah A. ",Pasteleria Cafe : Feasibility study in micro perspective in hospitality management,v.p.,2019
TH19-00053,THESIS TH 53 C33 2019,"Cacho, Eloiza Michaela",Banwa Beach Resort : Feasibility study in club and resort operations,206,2019
TH19-00054,THESIS TH 54 D56 2019,"Dionisio, Nicole Anne B. ",Nostalgia Beach Resort : A Bachelor's feasibility study,242,2019
TH19-00055,THESIS TH 55 B87 2019,"Burguite, Roselyn ",Aloha State : Bachelor of science in Tourism Management.,186,2019
TH19-00056,THESIS TH 56 B34 2019,"Bagumbayan, Rjay P. ",Palacio sa Norte : Bachelor of science in hotel and restaurant management,177,2019
TH19-00057,THESIS TH 57 B33 2019,"Bad-an, Abigail O. ",El Serenidad Beach Resort : Feasibility study in club and resort operations,309,2019
TH19-00058,THESIS TH 58 L33 2018,"Lacbayo, Ferdinand Fredrick C. ",Client management with billing and employee attendance monitoring system for beauty and butter SM Jazz,v.p.,2018
TH19-00059,THESIS TH 59 P53 2018,,"Planning, formulating and developing network infrastracture for FARB software limited through network simulation facility",280,2019
TH19-00060,THESIS TH 60 C33 2018,"Cabebe, Roi Eliezer R. ","Applicant information and tracking system with SMS notification for PHILCANGO INTL. RECRUITMENT SERVICES, INC.,",v.p.,2018
TH19-00061,THESIS TH 61 B35 2018,"Ballesteros, Josue M. ",Patient information system with barcode technology for Barangay North Signal super Health center,v.p.,2018
TH19-00062,THESIS TH 62 C37 2018,"Casem, Jochellee B.",Online application and recruitment tracking system with SMS notification for GADDI force security agency,v.p.,2018
TH19-00063,THESIS TH 63 B67 2018,"Borja, Ariel Michael T. ",Point of sales with kitchen display and queue system for eleventh 28 gourmet burgers,v.p.,2018
TH19-00064,THESIS TH 64 P46 2018,"Pena, Mark Ryan C. ",Point of sales system utilizing barcode technology with sales and stock monitoring for the republic Tibay Retailer Lorico Construction supplies and services,v.p.,2018
TH19-00065,THESIS TH 65 B37 2018,"Barbarin, John Christopher S. ",Point of sales and stock monitoring for 5th Gear Car Accessories Shop,v.p.,2018
TH19-00066,THESIS TH 66 C37 2018,"Caro, Michelle R. ",Patient information system with billing and patient Queueing for Mr Flores Memorial Health Center,v.p.,2018
TH19-00067,THESIS TH 67 B39 2018,"Bazar, Angelu R. ",Pet information and billing system for PUP Culture Daycare,v.p.,2018
TH19-00068,THESIS TH 68 D86 2018,"Dumaliang, Rachelle Joy U. ",Veterinary clinic information system with stock monitoring for Quizon Veterinary clinic,v.p.,2018
TH19-00069,THESIS TH 69 A56 2018,"Andoy, Mary Lynnecent D.",Online trainer scheduling system for CKT dynamic leaders training and services,v.p.,2018
TH19-00070,THESIS TH 70 B45 2018,"Belicena, Alnie S. ",Order tracking and stock monitoring system for Transcendo Solutions Global Inc,v.p.,2018
TH19-00071,THESIS TH 71 E87 2018,"Espinas, Edward Joseph C.",Midnight madness : a first-person survival and psychological horror video game,v.p.,2018
TH19-00072,THESIS TH 72 D86 2018,"Dunton, Ted Jr. V.",Inventory management system for Sustena's Express Mart Corporation,v.p.,2018
TH19-00073,THESIS TH 73 B36 2018,"Bangcaya, Aurora B. ",Wedding management system for charmed by MYV events management,v.p.,2018
TH19-00074,THESIS TH 74 C37 2018,"Capili, Kimberly Mae M. ",Monitoring members information system with online members progress tracking for TONG-IL-MOO-DO Philippines,v.p.,2018
TH19-00075,THESIS TH 75 A23 2018,"Abalos, Madelene O. ",Hotel reservation and billing system for Granprix Hotel Pasay,v.p.,2018
TH19-00076,THESIS TH 76 A58 2019,"Antonio, Charles Jerome G. ",Patient information system with online scheduling for Right Smile Dental Clinic,v.p.,2018
TH19-00077,THESIS TH 77 A45 2018,"Allata, Valerie C. ",Product sales and monitoring with billing system for Golden star commercial Inc.,v.p.,2018
TH19-00078,THESIS TH 78 A54 2018,"Angelada, Carl Anthony G. ",Gym management system for Afrikan Gym Fitness unlimited with online viewing of reports,v.p.,2018
TH19-00079,THESIS TH 79 D66 2018,"Domingo, Jazreel Pam D. ","Grading and attendance monitoring system for Learn and Explore Montessori School, Inc., (LEMS)",v.p.,2018
TH19-00080,THESIS TH 80 L56 2018,"Limbo, Raniel R. ",Lan-Based patient information with SMS notification system for teeth avenue,v.p.,2018
TH19-00081,THESIS TH 81 G35 2018,"Galutera, Edward Philip II I. ",Golden pet home veterinary clinic management system,v.p.,2018
TH19-00082,THESIS TH 82 C37 2018,"Carlos, Jared ",The effectiveness of social media as a tool in helping those people who experienced bullying towards to a developmental program,v.p.,2018
TH19-00083,THESIS TH 83 D36 2018,"Danao, King Edman P. ",Sales and Stock Monitoring system module with SMS notification for PIMP Kicks Paseo De Roxas Branch,v.p.,2018
TH19-00084,THESIS TH 84 D48 2018,"De Vera, Jhonnel",Feasibility study in club an resort operation perivallon,v.p.,2018
TH19-00085,THESIS TH 85 A38 2018,"Aguro, Jasmin ",Garden of Eden,v.p.,2018
TH19-00086,THESIS TH 86 B37 2018,"Basco, Kenneth P. ",Online ordering system for Sissyshoppe,v.p.,2018
TH19-00087,THESIS TH 87 A88 2018,"Asuncion, Matthew Augustine ",Doux escapade beach resort,v.p.,2018
TH19-00088,THESIS TH 88 H53 2018,"Hidalgo, Louise Alexandra B. ",Patient information system with online appointment and SMS notification for Dental Harmony Oral Care Center Mandaluyong City,v.p.,2018
TH19-00089,THESIS TH 89 E33 2018,"Eda¤ol, Paul Vincent S. ",Adventure of Maru,v.p.,2018
TH19-00090,THESIS TH 90 I56 2018,,Innovated and systematic network infrastructure plan for ABC Company through network simulation facility,v.p.,2018
TH19-00091,THESIS TH 91 A27 2018,"Abril, John Micheal F. ",Online catering reservation with billing system for Calle Preciousa Seafood Dampa Palutuan,v.p.,2018
TH19-00092,THESIS TH 92 A65 2018,"Apinan, Angelo D. ",Barangay Guadalupe Nuevo Information System with android application,v.p.,2018
TH19-00093,THESIS TH 93 P53 2018,,"Planning, analyzing, designing and implementing innovated network infrastructure for FARB company through network simulation facility",v.p.,2018
TH19-00094,THESIS TH 94 J33 2018,"Jacla, Jake C. ",Sales and product monitoring with barcode scanner for Elyza Shopee,v.p.,2018
TH19-00095,THESIS TH 95 A88 2018,"Asual, Jhon Lloyd C. ",Petshield veterinary clinic sales and stock monitoring system with barcode reader,v.p.,2018
TH19-00096,THESIS TH 96 B35 2018,"Baliza, Alaika D.","Online recruitment system with SMS notification for PHILCANGO International Recruitment Services Inc.,",v.p.,2018
TH19-00097,THESIS TH 97 P39 2018,"Payen, Salve E. ",Service scheduling and payment monitoring system for ENSCI pest control services,v.p.,2018
TH19-00098,THESIS TH 98 B33 2018,"Bacuyag, Adrian Carl Q. ",Patient information with billing and queueing system for Avila Polyclinic and Diagnostic Center,v.p.,2018
TH19-00099,THESIS TH 99 A33 2018,"Aggabao, John Michael B. ",Sales and stock monitoring system for BATHAN'S BAKERY,v.p.,2018
TH19-00100,THESIS TH 100 S26 2018,"San Juan, Abigail Eunice D.",Professor A : A PC-Based Educational Game,v.p.,2018
TH19-00101,THESIS TH 101 B84 2018,"Buenaflor, Joenard S. ",Online reservation with billing system for during's BBQ & Restaurant,v.p.,2018
TH19-00102,THESIS TH 102 A76 2018,"Armonio, James Kenneth J. ",Event scheduling and billing system with SMS notification for Holy Child Chapel,v.p.,2018
TH19-00103,THESIS TH 103 B45 2018,"Belmonte, Romina Ashley D.",Patient information and schedule monitoring system with SMS Technology for Acosta Dental Clinic,v.p.,2018
TH19-00104,THESIS TH 104 M36 2018,"Manchus, Christian B.",Alta Guia events place management system with online reservation and SMS notification,v.p.,2018
TH19-00105,THESIS TH 105 Qu56 2018,"Quiogue, Arvin B.",Slaes and stocks monitoring with SMS notification and onsite chat hub for APL Ice Store,v.p.,2018
TH19-00106,THESIS TH 106 A43 2018,"Alas as, Conred A. ",Online church member monitoring and information system with android application for first presbyterian church of Pasig,v.p.,2018
TH19-00107,THESIS TH 107 A47 2018,"Alsisto, Alesandri Ivan S. ",Point of sale with stock monitoring and order queueing system for PANIK'S Grilled burger,v.p.,2018
TH19-00108,THESIS TH 108 G66 2018,"Gomoc, John Paul G. ",Online car rental reservation with billing system for CENTERLANE INC,v.p.,2018
TH19-00109,THESIS TH 109 B47 2018,"Bernos, Joemarie S. ",Reservation and scheduling with billing system for Big Apple Express Spa,v.p.,2018
TH19-00110,THESIS TH 110 D35 2018,"Daliva, Jon Robbie M. ","Patient information, Billing and Queueing system for Pembo Doctors Medical Clinic",v.p.,2018
TH19-00111,THESIS TH 111 D45 2018,"Dela Cruz, Katherine J. ",Product and sales monitoring system for pet shield pet grooming and veterinary clinic,v.p.,2018
TH19-00112,THESIS TH 112 B37 2018,"Barbaso, Alcid Hope P. ",Online ordering and sales monitoring system for VEMIZON BUSINESS CENTRE,v.p.,2018
TH19-00113,THESIS TH 113 C37 2018,"Carianga, Renzel Sean ",Member information system with loan application and payment monitoring with SMS notification for Rizal commercial banking corporation employee association union office,v.p.,2018
TH19-00114,THESIS TH 114 D45 2018,"Dela Pe¤a, Wilma Joy G. ",Ang buhay ni Lapu-Lapu: Labanan sa Mactan,v.p.,2018
TH19-00115,THESIS TH 115 C34 2018,"Cagampang, Gernie Claire L.",Patient information system with online appointment scheduling and SMS notification for Ma. Ruth Dental Clinic,v.p.,2018
TH19-00116,THESIS TH 116 B46 2018,"Benigno, Mark Jay D. S.",Lutong Pinoy : a 2D game introducing Filipino cuisine,v.p.,2018
TH19-00117,THESIS TH 117 D45 2018,"Delos Santos, Mayeth E. ",Online reservation with billing system for Isabella's Resort and Catering Services,v.p.,2018
TH19-00118,THESIS TH 118 B36 2018,"Banaag, Zhail Bryant Q. ",Online sales and ordering system for JCJ Hardware,v.p.,2018
TH19-00119,THESIS TH 119 C66 2018,"Concepcion, Redney G. ",Web based booking for KLIK 'N FLY Travel and Tours,v.p.,2018
TH19-00120,THESIS TH 120 B35 2018,"Balbuena, Quenie Rose R. ",Sales and inventory system for MAEF Tiles center,v.p.,2018
TH19-00121,THESIS TH 121 A45 2018,"Aliwanag, Ferienell N. ",Online appointment and monitoring of lawsuit status with SMS Notification system for BLG law,v.p.,2018
TH19-00122,THESIS TH 122 R39 2018,"Rayos Del Sol, Joy Charisse B. ",Online job application system for job consult manpower agency,v.p.,2018
TH19-00123,THESIS TH 123 M34 2018,"Magallano, Shella Mae A. ",Online ordering system with product monitoring for KINADJ Corporation,v.p.,2018
TH19-00124,THESIS TH 124 A73 2018,"Arcibal, Jasmin A.",Story Tale : a visual short story for reading and language,v.p.,2018
TH19-00125,THESIS TH 125 J36 2018,"Jamito, Mel Andrea D. ",Ordering system with queueing and stock monitoring for Kalsada Burger,v.p.,2018
TH19-00126,THESIS TH 126 A68 2018,"Aquino, Glacel Joy R. ",Lot management system with billing for Rosehill's Memorial management Philippines INC.,v.p.,2018
TH19-00127,THESIS TH 127 C48 2018,"Chua, Dan Cecilio L. ","Community-based emergency monitoring system with emergency responder request and emergency response mobile applications for Barangay Sta. Ana, Taguig City",v.p.,2018
TH19-00128,THESIS TH 128 D45 2018,"Dela Cruz, Diane Marie E. ",Point of sale using barcode scanner with sales and stock monitoring for LA FAMILIA Hardware,v.p.,2018
TH19-00129,THESIS TH 129 D56 2018,"Dingalan Jr., Joseph L. ",Online ordering system for one full trading,v.p.,2018
TH19-00130,THESIS TH 130 A46 2018,"Almonte, Mico B. ",Point-of-Sale and stock monitoring with membership registration and notification module for VDB Aim Global Merchandise Shop,v.p.,2018
TH19-00131,THESIS TH 131 A76 2018,"Arnaiz, Job Christian C. ",Patient information system with online appointment and SMS notification for Say Cheeze Dental Clinic,v.p.,2018
TH19-00132,THESIS TH 132 A23 2018,"Ababa, Julius Czar R. ",Barangay Pitogo health center informationsystem with SMS notification,v.p.,2018
TH19-00133,THESIS TH 133 A44 2018,"Alforja, John Eryckson C. ","Patient information system with patient queueing, billing and appointment scheduling for C.S Rivera Clinic",v.p.,2018
TH19-00134,THESIS TH 134 B73 2018,"Brazal, Jhustine Anne F. ",Payroll system with employee attendance monitoring using biometrics technology for ecosolutions,v.p.,2018
TH19-00135,THESIS TH 135 A36 2018,"Agne, Robinson B. ","Appointment scheduling, billing and payment system for Roque Diagnostic Center and Medical Clinic",v.p.,2018
TH19-00136,THESIS TH 136 I56 2018,,Innovative and improved and network infrastructure for ABC company through network simulation facility,v.p.,2018
TH19-00137,THESIS TH 137 E87 2018,"Esquiero, Joshua B. ",Ordering system using android application with kitchen queueing for perfect twins food house,v.p.,2018
TH19-00138,THESIS TH 138 G66 2018,"Gonzales, John Michael C. ",Automated food waste composter,v.p.,2018
TH19-00139,THESIS TH 139 C37 2018,"Capistrano, Tedy Ted C. ",Microcontroller-based charcoal briquetting machine,v.p.,2018
TH19-00140,THESIS TH 140 T65 2018,"Tolentino, Monica Lyka N. ",Automated biodiesel processor from waste cooking oil,v.p.,2018
TH19-00141,THESIS TH 141 H55 2018,"Hilarion, James Michael D. ",MCU-Based chemical depository system utilizing CARTESIAN Robotic Arm,v.p.,2018
TH19-00142,THESIS TH 142 A87 2018,"Aspiras, John Carlo S. ",Microcontroller based food serving robot with ordering system using android technology,v.p.,2018
TH19-00143,THESIS TH 143 D45 2018,"Dela Cruz, Rasheed Russell B. ","Microcontroller-Based bottle filling, Capping and Labelling machine for NKM Water Station",v.p.,2018
TH19-00144,THESIS TH 144 L63 2018,"Loayon, Lotche C. ",Commercial Off-The-Shelf : AN-Based enrollment system with evaluation for Tertiary,v.p.,2018
TH19-00145,THESIS TH 145 C37 2018,"Capumpue, Justine Philip Y. ",Android based navigator using A-Star Algorithm and GPS,v.p.,2018
TH19-00146,THESIS TH 146 D38 2018,"Datumanong, Badrodin C. ",Web-Based Real-Time monitoring system for interns of STI Global City with android application,v.p.,2018
TH19-00147,THESIS TH 147 A33 2018,"Agcaoili, Aira Hope B. ",LAN-Based examination system with questionnaire generator using fisher-yates shuffle algoruthm,v.p.,2018
TH19-00148,THESIS TH 148 A23 2018,"Abatay, Ailah Marie ",The effectiveness of the Internship program to the Hotel and Restaurant Management students of STI College Global City : an analysis to employability,v.p.,2018
TH19-00149,THESIS TH 149 A43 2018,"Amada, Krisha Anne C. ",Online student information system for Pitogo high school using Heuristic approach,v.p.,2018
TH19-00150,THESIS TH 150 C33 2018,"Cabano-Ang, Gesriel R.",Sales and stock monitoring system for SGV optical clinic,v.p.,2018
TH19-00151,THESIS TH 151 A45 2018,"Allequir, Aljon C. ",Point of sale and order queueing with stock monitoring system for Dafort's Sisig on the spot,v.p.,2018
TH19-00152,THESIS TH 152 A24 2018,"Aceret, Jessaline ",The efficiency of modernized wooden chair organizer to increase the convenience of selected Senior High School Students of STI College Global City,v.p.,2018
TH19-00153,THESIS TH 153 P53 2018,,"Planning, developing and implementing network infrastructure for FARB Software LTD through network simulation facility",v.p.,2018
TH19-00154,THESIS TH 154 B47 2018,"Bermas, Athony K. Jr. ",PSP: Powered Seashell Project for Water Impurities,v.p.,2018
TH19-00155,THESIS TH 155 B66 2018,"Bonto, Angelica L. ",The essence of tour itinerary in the travelling satisfaction of Grade 12 Senior High School Tourism Operations Students in STI College Global City Academic year 2017-2018,v.p.,2018
TH19-00156,THESIS TH 156 A23 2018,"Abdulla, Al-Ghani DC. ",The effectiveness of 'SOLOLEARN' on the academic performance of grade 11 ITMAWE students in STI College Global City academic year 2017-2018 : towards the development of ITEACH PL,v.p.,2018
TH19-00157,THESIS TH 157 A88 2018,"Asumbra, Ryan Jade ",The significance of social adaptability among grade 11 STEM Students of STI College Global City in the academic year 2017-2018 : towards the development of social behavior booklet,v.p.,2018
TH19-00158,THESIS TH 158 A46 2018,"Amor, Jadd Wilhem D. ",Gelatin face soap with honey-aloe vera scent as its primary ingredient for beauty enthusiast,v.p.,2018
TH19-00159,THESIS TH 159 A48 2018,"Alumbro, Aubrey C. ",Factors affecting the travel interests of grade 12 Senior High School tourism operations Students in STI College Global City academic year 2017-2018,v.p.,2018
TH19-00160,THESIS TH 160 A23 2018,"Abao, Glezeil B.",Culinary arts,v.p.,2018
TH19-00161,THESIS TH 161 C45 2018,"Celeste, Abby Gayle F.",The factors affecting the interests of students in choosing a travel destination among the bachelor of science in tourism management students in STI College Global City academic year 2017-2018,v.p.,2018
TH19-00162,THESIS TH 162 B37 2018,"Baquiran, Jan Mark ","The effects of motivational instructions to student learning in achieving goals among grade 11 and 12 STEM students in STI College Global City, academic year 2017-2018 : a seminar about motivating students",v.p.,2018
TH19-00163,THESIS TH 163 B37 2018 ,"Barte, Braeven N. ",The significance of adopting domestic animals which affects human behaviour among grade 11 STEM students in sti college global city in the academic year 2017-2018: a documentary on the development of human character,v.p.,2018
TH19-00164,THESIS TH 164 B35 2018,"Balaoing, Angelo",The advantages of having mobile data in cellular phones for the education of selected senior high school students on ITMAWE strand of sti college global city,v.p.,2018
TH19-00165,THESIS TH 165 F53 2018,"Flaviano, Anna",The convenience of having online reservation system for enrollment to the sti global city,v.p.,2018
TH19-00166,THESIS TH 166 M35 2018 ,"Malapo, Creal Andrea",File privacy: effects of cloud storage using smartphone,34,2018
TH19-00167,THESIS TH 167 B35 2018,"Balcorta, Chelsea Ann M. ",The exploitation of potatos as an alternative source of electricity for rural areas,45,2018
TH19-00168,THESIS TH 168 N34 2018,"Nagallo, Leona A. ",Antas ng kasanayan sa paggawa ng database gamit ang mySQL ng mga magaaral ng bsit602 sy 2015-2016 ng sti global city college,v.p.,2018
TH19-00169,THESIS TH 169 C63 2018 ,"Colar, Eleonah C. ",The impact of outcome based education in developing skills of tourism operations students in sti college global in academic year of 2017-2018: towards the development of an enhancement program,v.p.,2018
TH19-00170,THESIS TH 170 A33 2018,"Afan, Ivan D. ",The level of awareness ion the computer fraud and criminal act of itmawe students in sti college-global city in the academic year 2017-2018: a documentary on prosecuting criminal and civil actions on cuber space,v.p.,2018
TH19-00171,THESIS TH 171 A54 2018,"Angot, Louie John B. ",An improvised charger that produces electricity through salt water for mobile phone charger,v.p.,2018
TH19-00172,THESIS TH 172 A23 2018,"Abaja, Emmanuel",The significance of seperating hoax beliefs and validated facts of the human body in the biology of grade 11 stem students in sti college global city s.y. 2017-2018: proposing a seminar on facts about the human body,v.p.,2018
TH19-00173,THESIS TH 173 A43 2018,"Aldunar, Jeremiah Robert",New components in making a natural shampoo with use of organic herns and oils for the usage of selecteed grade 11 students of sti college global city towards on having a healthy smooth hair,v.p.,2018
TH19-00174,THESIS TH 174 H53 2018,"Hidalgo, Ruchel Karmela C. ",The significance of effective communication skills in developing the tour guiding ability of grade 12 tourism operations students in sti college global city.,v.p.,2018
TH19-00175,THESIS TH 175 A46 2018,"Almorado, Maria Veronica C. ",Profitability of chicken with vegetable siomai as innovated product: a qualitative study among Senior High School students of sti college global city,v.p.,2018
TH19-00176,THESIS TH 176 A23 2018,"Abad, Algerico Cedric",Issues of young programmers in programming java qualitative research on practical & application of IT mawd students of sti college global city,v.p.,2018
TH19-00177,THESIS TH 177 A24 2018,"Abenir, Ma. Cristina G. ",Improved means of communication using messenger app: a qualitative study in the learning development of Senior High School students of sti follege global city,v.p.,2018
TH19-00178,THESIS TH 178 A95 2018,"Aviles, Lance Harvey A.","The utilization of citric acid as the main agent for a quick, om-the-go stain remover for cotton fabrics",v.p.,2018
TH19-00179,THESIS TH 179 D45 2018,"Dela Cruz, Cherry Mae",The efficiency of using lemon and castor oil as a mosquito repellant with a citrus aroma for homeowners,v.p.,2018
TH19-00180,THESIS TH 180 A23 2018,"Abad, Jalen Ross V.",The impact of using lavender menthol cream as a stress reliever for selected students in sti college global city,v.p.,2018
TH19-00181,THESIS TH 181 C74 2018,"Crebillo, Hienz C. ",The effectiveness of educational website (w3schools) as a programming language learning tool,v.p.,2018
TH19-00182,THESIS TH 182 B34 2018,"Baguihon, Charlotte B. ","Accountancy, business and management department",v.p.,2018
TH19-00183,THESIS TH 183 A43 2018,"Alcala, Angela Beatriz",Effectiveness of decision making: a qualitative study in the course preferences of grade 11 & 12 culinary students in sti college global city,v.p.,2018
TH19-00184,THESIS TH 184 A24 2018,"Abella, Erica",Accounting and business management department,v.p.,2018
TH19-00185,THESIS TH 185 A46 2018,"Almojuela, Sofia",Business plan on the establishment of own business,v.p.,2018
